code,row,col,x,y
E02003719,4,2,545833.4691832134,261162.63161918937
E02003720,4,1,544628.706143073,260424.61220324363
E02003721,4,3,546935.1747297405,260650.91123483158
E02003722,3,2,545465.6555580547,259908.13152328174
E02003723,3,1,543573.0529294226,259684.49529758948
E02003724,3,4,547734.3665485197,258986.50951026627
E02003725,2,1,543955.628208063,258301.61012196957
E02003726,3,3,546170.5316156191,258083.59721471078
E02003727,2,3,547109.1584128451,257925.0676894951
E02003728,2,4,547125.8398511842,256922.62864334186
E02003729,1,4,548644.3152559258,256270.85684387322
E02003731,1,3,546925.5046277022,255426.57187337318
E02007086,1,2,544701.9352590778,254811.79861020166
E02007087,2,2,545053.6927819548,256623.6358563361
